,date,日照時間(時間),平均風速(m/s),平均蒸気圧(hPa),平均雲量(10分比),降水量の合計(mm),平均気温(℃)
458,2018/4/4,10.8,3.3,15.4,0.5,0.0,20.1
459,2018/4/5,0.4,3.3,10.7,10.0,0.0,13.3
460,2018/4/6,3.0,5.3,16.8,10.0,1.0,18.1
461,2018/4/7,3.8,4.1,11.7,9.5,0.0,16.2
462,2018/4/8,7.3,2.0,5.8,2.5,0.0,11.9
463,2018/4/9,11.2,3.7,6.5,2.5,0.0,13.7
464,2018/4/10,11.1,3.3,8.1,2.3,0.0,13.6
465,2018/4/11,5.3,6.5,13.0,9.5,0.0,17.6
466,2018/4/12,8.4,2.4,12.7,9.8,0.0,19.1
467,2018/4/13,11.8,3.9,5.9,0.5,0.0,15.5
468,2018/4/14,0.8,4.0,11.8,9.5,0.0,15.2
469,2018/4/15,0.0,4.8,15.7,10.0,19.0,17.9
470,2018/4/16,4.9,3.7,8.0,10.0,0.0,14.7
471,2018/4/17,0.0,2.3,11.8,10.0,2.5,12.7
472,2018/4/18,2.4,2.3,13.8,7.8,28.0,12.7
473,2018/4/19,9.0,3.3,13.9,2.0,0.0,16.2
474,2018/4/20,12.0,3.0,12.1,2.5,0.0,18.7
475,2018/4/21,12.2,2.8,13.9,0.0,0.0,18.9
476,2018/4/22,12.1,2.1,15.4,1.5,0.0,20.5
477,2018/4/23,0.0,3.0,15.1,9.3,0.0,16.5
478,2018/4/24,0.0,3.3,17.2,10.0,1.5,18.0
479,2018/4/25,1.9,3.5,20.8,10.0,57.0,19.0
480,2018/4/26,9.9,3.9,11.5,7.8,0.0,18.9
481,2018/4/27,2.7,2.9,14.9,9.5,0.0,18.5
482,2018/4/28,12.3,4.4,11.4,0.0,0.0,20.1
483,2018/4/29,12.1,4.4,15.3,0.0,0.0,20.1
484,2018/4/30,9.2,4.5,15.9,6.3,0.0,20.8
485,2018/5/1,12.1,2.9,15.1,4.8,0.0,22.3
486,2018/5/2,2.9,3.2,18.5,10.0,3.5,20.4
487,2018/5/3,1.9,6.2,20.2,10.0,14.0,21.9
488,2018/5/4,9.7,3.8,10.6,3.5,0.0,18.0
489,2018/5/5,12.4,3.3,10.8,1.8,0.0,18.3
490,2018/5/6,10.1,4.5,13.4,9.8,0.0,21.0
491,2018/5/7,0.1,4.3,16.8,10.0,21.0,17.9
492,2018/5/8,0.0,3.1,13.6,10.0,10.5,12.9
493,2018/5/9,0.0,2.9,12.6,10.0,35.0,12.1
494,2018/5/10,3.2,1.8,11.9,6.3,9.0,12.1
495,2018/5/11,11.9,3.7,11.8,7.3,0.0,16.4
496,2018/5/12,9.7,2.8,15.5,6.5,0.0,18.8
497,2018/5/13,0.0,3.4,17.2,10.0,49.0,17.9
498,2018/5/14,10.9,2.9,14.1,3.0,0.0,21.1
499,2018/5/15,12.6,3.6,14.8,2.0,0.0,22.3
500,2018/5/16,11.3,4.3,17.0,5.8,0.0,23.5
501,2018/5/17,5.8,3.7,21.0,9.0,0.0,24.0
502,2018/5/18,9.7,3.0,23.4,7.8,0.0,23.4
503,2018/5/19,2.3,3.9,18.4,7.5,0.0,21.5
504,2018/5/20,11.0,3.5,9.6,4.3,0.0,16.8
505,2018/5/21,11.0,2.4,10.8,10.0,0.0,20.3
506,2018/5/22,13.4,3.1,13.3,0.3,0.0,21.0
507,2018/5/23,1.3,2.3,18.0,10.0,9.0,18.6
508,2018/5/24,7.8,2.8,19.6,6.0,6.0,20.7
509,2018/5/25,8.3,3.7,19.8,8.3,0.0,22.8
510,2018/5/26,2.7,2.7,16.0,9.8,0.0,21.4
511,2018/5/27,11.2,2.9,18.1,3.3,0.0,21.3
512,2018/5/28,0.7,2.5,19.6,10.0,0.0,21.6
513,2018/5/29,3.6,3.2,20.2,10.0,0.0,23.0
514,2018/5/30,0.1,2.6,21.3,10.0,8.5,21.1
515,2018/5/31,1.6,2.4,19.7,10.0,0.0,19.5
516,2018/6/1,9.1,3.4,14.5,8.0,0.0,21.7
517,2018/6/2,9.9,2.4,16.9,3.8,0.0,21.9
518,2018/6/3,9.8,2.8,17.8,4.3,0.0,22.5
519,2018/6/4,13.2,2.8,17.9,3.0,0.0,23.5
520,2018/6/5,6.0,2.3,18.9,7.5,0.0,23.2
521,2018/6/6,0.0,1.7,21.8,10.0,12.5,20.3
522,2018/6/7,8.5,2.6,21.4,7.8,1.5,22.2
523,2018/6/8,7.3,4.0,22.9,7.3,1.0,23.7
524,2018/6/9,8.4,2.7,23.8,8.8,0.0,25.7
525,2018/6/10,0.0,3.0,21.2,10.0,31.0,20.0
526,2018/6/11,0.0,2.9,21.6,10.0,50.0,18.9
527,2018/6/12,1.1,2.2,21.8,10.0,0.0,20.5
528,2018/6/13,5.0,2.7,19.5,8.0,0.0,21.5
529,2018/6/14,1.3,3.4,17.6,10.0,0.0,20.6
530,2018/6/15,0.0,3.2,18.6,10.0,9.5,17.6
531,2018/6/16,0.1,2.8,15.4,10.0,3.0,15.9
532,2018/6/17,0.4,2.3,16.6,10.0,0.0,18.7
533,2018/6/18,0.0,1.9,20.8,10.0,2.0,19.4
534,2018/6/19,7.7,3.0,20.9,9.8,0.0,22.7
535,2018/6/20,0.0,2.7,24.1,10.0,24.5,20.8
536,2018/6/21,0.0,2.0,23.9,9.5,2.0,21.2
537,2018/6/22,10.8,2.7,22.4,7.3,0.0,23.1
538,2018/6/23,0.0,1.7,23.0,10.0,16.0,20.6
539,2018/6/24,4.1,2.1,23.0,10.0,2.5,21.3
540,2018/6/25,12.9,2.4,23.2,2.8,0.0,26.2
541,2018/6/26,9.2,3.6,24.7,7.5,0.0,25.7
542,2018/6/27,7.6,7.0,26.1,9.0,0.0,27.7
543,2018/6/28,4.8,6.0,27.9,8.0,0.0,27.4
544,2018/6/29,12.8,6.9,27.7,4.0,0.0,28.2
545,2018/6/30,13.1,5.8,28.5,6.0,0.0,28.6
546,2018/7/1,13.1,5.1,28.5,1.5,0.0,28.1
547,2018/7/2,13.6,3.7,27.6,0.0,0.0,28.8
548,2018/7/3,11.4,5.0,26.5,7.8,0.0,28.4
549,2018/7/4,2.6,6.6,27.6,10.0,0.0,27.6
550,2018/7/5,0.1,6.9,27.5,10.0,2.0,26.7
551,2018/7/6,0.0,3.1,25.8,10.0,28.5,21.7
552,2018/7/7,3.1,3.8,27.2,10.0,0.0,25.0
553,2018/7/8,6.8,3.9,28.7,10.0,0.0,27.4
554,2018/7/9,5.1,3.2,30.8,7.8,3.5,27.3
555,2018/7/10,10.5,3.7,30.0,6.0,0.0,28.5
556,2018/7/11,5.5,2.1,29.8,10.0,0.0,29.0
557,2018/7/12,3.9,2.6,29.0,10.0,3.5,26.6
558,2018/7/13,8.7,2.7,29.8,8.5,0.0,29.1
559,2018/7/14,8.9,2.8,29.4,7.0,0.0,30.1
560,2018/7/15,11.1,3.2,32.1,3.0,0.0,29.7
561,2018/7/16,11.1,3.0,32.6,9.8,0.0,29.9
562,2018/7/17,10.2,3.4,32.7,10.0,0.0,29.9
563,2018/7/18,11.2,3.0,32.6,5.3,0.0,30.5
564,2018/7/19,11.2,3.6,32.4,7.3,0.0,29.9
565,2018/7/20,12.5,4.4,31.5,3.5,0.0,29.9
566,2018/7/21,12.6,3.2,31.2,6.5,0.0,30.5
567,2018/7/22,9.9,2.4,32.6,8.3,0.0,31.0
568,2018/7/23,10.0,2.9,28.0,7.5,0.0,32.2
569,2018/7/24,7.9,2.8,31.5,6.3,2.5,29.8
570,2018/7/25,3.3,3.0,30.7,10.0,0.0,28.1
571,2018/7/26,3.1,2.9,23.3,9.8,0.0,26.5
572,2018/7/27,2.9,3.1,22.4,9.5,0.0,25.4
573,2018/7/28,0.2,4.2,28.7,10.0,52.0,24.0
574,2018/7/29,5.9,3.6,31.7,9.0,15.0,27.9
575,2018/7/30,2.6,2.6,30.5,8.8,0.0,28.0
576,2018/7/31,8.2,2.6,30.0,4.5,0.0,28.4
577,2018/8/1,12.5,2.6,31.0,1.8,0.0,30.3
578,2018/8/2,8.3,2.5,31.1,6.5,0.0,31.2
579,2018/8/3,6.4,2.6,31.9,6.0,0.0,30.5
580,2018/8/4,11.1,2.8,30.0,7.3,0.0,29.8
581,2018/8/5,9.9,3.3,33.3,4.5,0.0,30.4
582,2018/8/6,5.2,3.0,31.6,10.0,0.0,28.7
583,2018/8/7,0.0,3.3,25.0,10.0,4.5,22.2
584,2018/8/8,0.0,3.9,27.9,10.0,41.0,23.6
585,2018/8/9,1.9,5.0,31.1,8.3,4.0,27.4
586,2018/8/10,10.7,3.8,31.8,5.8,0.0,29.8
587,2018/8/11,5.4,2.3,33.3,9.5,0.5,28.7
588,2018/8/12,0.4,2.2,31.6,10.0,0.0,27.7
589,2018/8/13,4.6,2.0,33.1,10.0,10.5,27.5
590,2018/8/14,10.8,3.8,31.0,6.0,0.0,28.8
591,2018/8/15,11.8,5.8,30.1,9.5,0.0,29.7
592,2018/8/16,6.3,5.9,28.9,9.0,0.0,29.1
593,2018/8/17,10.5,5.5,15.1,4.0,0.0,26.3
594,2018/8/18,11.5,2.9,15.7,7.8,0.0,22.7
595,2018/8/19,9.1,2.5,18.7,7.8,0.0,23.6
596,2018/8/20,0.3,1.7,23.1,10.0,0.0,24.7
597,2018/8/21,8.3,3.5,30.4,6.0,0.0,28.2
598,2018/8/22,11.8,4.9,31.2,2.8,0.0,29.7
599,2018/8/23,5.9,4.8,31.7,8.5,0.0,29.4
600,2018/8/24,2.9,7.4,32.1,10.0,7.5,28.2
601,2018/8/25,11.6,4.3,31.5,5.5,0.0,31.1
602,2018/8/26,12.2,2.1,31.9,3.5,0.0,31.0
603,2018/8/27,9.8,2.9,29.5,4.5,16.0,29.4
604,2018/8/28,1.9,2.3,29.3,10.0,1.0,26.6
605,2018/8/29,0.6,2.4,29.2,10.0,0.5,26.1
606,2018/8/30,6.1,2.9,30.0,9.3,0.0,28.8
607,2018/8/31,9.6,2.5,29.8,9.3,1.0,28.7
608,2018/9/1,0.9,2.5,28.6,8.5,6.0,25.9
609,2018/9/2,0.0,2.0,25.4,10.0,7.5,22.1
610,2018/9/3,1.4,1.8,27.8,10.0,4.0,23.6
611,2018/9/4,0.0,5.9,31.0,10.0,14.5,26.5
612,2018/9/5,9.1,6.6,27.2,6.5,8.5,27.6
613,2018/9/6,6.2,3.7,24.5,8.8,0.0,27.6
614,2018/9/7,1.4,5.4,27.7,9.3,0.0,27.5
615,2018/9/8,10.3,5.3,29.1,8.3,0.0,28.8
616,2018/9/9,8.1,4.9,28.9,8.3,0.0,28.3
617,2018/9/10,3.5,3.6,28.7,10.0,38.5,25.5
618,2018/9/11,0.3,3.7,20.6,10.0,4.0,21.4
619,2018/9/12,3.3,2.9,17.2,9.5,0.0,21.0
620,2018/9/13,4.3,2.1,21.0,10.0,0.0,22.4
621,2018/9/14,0.2,2.0,24.4,10.0,7.5,21.9
622,2018/9/15,0.0,1.5,24.1,10.0,14.5,20.5
623,2018/9/16,4.1,1.8,25.0,8.8,0.0,23.1
624,2018/9/17,6.8,2.3,26.3,9.5,26.0,24.7
625,2018/9/18,6.8,2.7,24.7,7.8,40.5,23.3
626,2018/9/19,8.0,2.8,18.8,7.3,0.0,22.2
627,2018/9/20,0.0,2.1,19.6,10.0,40.5,19.9
628,2018/9/21,0.0,3.5,20.3,10.0,36.0,17.7
629,2018/9/22,3.1,1.2,24.1,8.5,0.0,21.5
630,2018/9/23,5.0,2.3,23.1,9.3,0.0,24.5
631,2018/9/24,2.3,2.0,25.6,9.8,1.5,24.4
632,2018/9/25,0.0,2.5,24.1,10.0,14.5,21.3
633,2018/9/26,0.0,2.5,19.5,10.0,38.5,17.7
634,2018/9/27,0.0,2.9,17.8,10.0,19.0,15.9
635,2018/9/28,11.4,2.1,17.0,1.5,0.0,19.7
636,2018/9/29,0.0,2.1,20.7,10.0,9.5,18.8
637,2018/9/30,0.2,3.5,23.5,10.0,34.0,20.4
638,2018/10/1,10.7,6.1,20.7,6.5,18.0,26.1
639,2018/10/2,10.7,2.9,14.6,3.3,0.0,22.0
640,2018/10/3,0.7,2.3,19.2,8.3,0.0,21.0
641,2018/10/4,0.0,2.4,18.2,10.0,0.0,20.1
642,2018/10/5,0.0,2.4,20.5,10.0,9.5,18.7
643,2018/10/6,7.3,3.4,25.9,7.3,0.0,23.7
644,2018/10/7,10.7,4.4,23.6,2.8,0.0,27.5
645,2018/10/8,0.0,2.7,19.3,9.0,0.0,21.9
646,2018/10/9,5.7,2.2,19.7,5.8,0.0,21.9
647,2018/10/10,5.9,2.4,21.1,9.0,0.5,22.4
648,2018/10/11,0.0,2.0,24.1,10.0,1.0,21.7
649,2018/10/12,0.3,2.8,17.9,10.0,0.0,20.0
650,2018/10/13,0.0,2.6,12.9,10.0,0.0,17.4
651,2018/10/14,1.0,2.3,15.8,9.8,7.5,16.4
652,2018/10/15,0.5,1.5,16.7,10.0,0.5,18.1
653,2018/10/16,2.1,2.1,16.5,9.0,0.0,18.4
654,2018/10/17,4.2,2.5,15.8,9.5,1.0,18.2
655,2018/10/18,3.8,2.6,14.2,5.8,0.0,17.2
656,2018/10/19,0.6,2.5,14.9,9.5,0.5,16.6
657,2018/10/20,6.4,2.8,14.5,7.5,9.0,16.6
658,2018/10/21,10.1,2.6,10.3,0.0,0.0,16.6
659,2018/10/22,9.6,2.1,11.7,3.5,0.0,16.6
660,2018/10/23,0.4,2.7,14.2,10.0,1.5,14.6
661,2018/10/24,5.8,2.2,16.3,7.8,0.5,17.7
662,2018/10/25,9.4,2.3,12.7,2.0,0.0,18.1
663,2018/10/26,2.6,2.3,14.0,9.5,0.0,18.0
664,2018/10/27,3.7,2.1,19.7,7.3,12.0,19.1
665,2018/10/28,3.0,2.2,14.0,5.0,0.0,16.9
666,2018/10/29,9.7,2.4,14.1,0.0,0.0,17.0
667,2018/10/30,8.6,2.3,11.6,1.5,0.0,17.0
668,2018/10/31,5.5,2.6,8.4,8.8,0.0,15.0
669,2018/11/1,8.9,3.1,7.8,4.3,0.0,14.7
670,2018/11/2,9.6,2.2,9.5,2.0,0.0,14.5
671,2018/11/3,7.3,2.1,11.8,3.5,0.0,14.9
672,2018/11/4,0.0,2.0,13.6,9.8,0.0,14.8
673,2018/11/5,2.6,1.8,18.1,9.3,1.5,18.0
674,2018/11/6,0.2,1.9,19.7,10.0,35.5,17.6
675,2018/11/7,4.7,2.8,13.9,7.5,0.0,16.6
676,2018/11/8,5.7,2.7,14.0,7.0,0.0,16.9
677,2018/11/9,0.0,1.8,17.6,10.0,7.0,15.6
678,2018/11/10,7.2,2.2,17.3,6.3,1.5,18.1
679,2018/11/11,6.8,2.0,11.4,5.0,0.0,16.3
680,2018/11/12,0.5,1.8,14.1,10.0,0.5,15.7
681,2018/11/13,0.0,2.7,14.1,10.0,1.5,14.9
682,2018/11/14,8.2,2.7,9.2,4.3,0.0,13.6
683,2018/11/15,9.4,2.1,8.5,0.0,0.0,12.5
684,2018/11/16,6.0,1.9,10.6,7.0,0.0,13.0
685,2018/11/17,8.9,2.1,10.3,6.5,0.0,14.9
686,2018/11/18,3.9,2.1,11.0,10.0,0.0,13.8
687,2018/11/19,0.3,1.9,13.0,10.0,8.5,13.4
688,2018/11/20,3.8,2.1,9.3,7.3,1.0,11.3
689,2018/11/21,8.5,1.6,9.5,5.3,1.5,11.6
690,2018/11/22,0.3,2.0,10.3,7.5,4.0,10.7
691,2018/11/23,7.6,2.3,6.5,4.3,0.0,10.8
692,2018/11/24,1.4,2.0,7.0,8.0,0.0,9.4
693,2018/11/25,8.0,2.0,8.5,8.3,0.0,10.1
694,2018/11/26,6.2,1.9,10.0,9.8,0.0,12.4
695,2018/11/27,5.1,1.9,12.0,5.5,0.0,13.8
696,2018/11/28,7.9,1.6,11.8,5.0,0.0,14.1
697,2018/11/29,3.1,2.5,10.9,10.0,0.5,12.8
698,2018/11/30,8.9,2.4,7.9,2.8,0.0,12.4
699,2018/12/1,8.4,2.7,7.9,5.3,0.0,12.0
700,2018/12/2,0.0,2.2,7.2,10.0,0.0,10.0
701,2018/12/3,1.9,1.5,10.6,10.0,0.0,13.2
702,2018/12/4,6.0,2.9,15.8,9.3,0.0,17.7
703,2018/12/5,1.0,3.1,11.4,8.5,0.0,16.8
704,2018/12/6,0.0,2.4,11.3,10.0,18.0,10.1
705,2018/12/7,1.3,1.8,12.0,10.0,0.0,12.2
706,2018/12/8,3.8,2.3,7.7,7.3,0.0,9.3
707,2018/12/9,2.3,3.1,4.6,8.3,0.0,7.8
708,2018/12/10,1.5,2.5,4.8,6.3,0.0,5.9
709,2018/12/11,0.8,2.4,6.2,7.5,7.0,4.7
710,2018/12/12,0.7,3.4,8.2,9.0,15.0,6.9
711,2018/12/13,0.4,2.6,6.0,6.8,0.5,6.7
712,2018/12/14,7.6,4.0,4.8,3.5,0.0,6.3
713,2018/12/15,8.9,3.3,3.9,1.3,0.0,6.1
714,2018/12/16,1.7,1.7,5.2,7.0,0.0,3.3
715,2018/12/17,4.6,1.6,8.2,6.0,2.5,6.6
716,2018/12/18,8.5,2.9,6.8,2.5,0.0,8.9
717,2018/12/19,8.6,2.0,6.2,0.5,0.0,8.2
718,2018/12/20,6.4,1.6,7.1,6.3,0.0,8.7
719,2018/12/21,8.2,1.8,6.9,3.3,0.0,8.9
720,2018/12/22,0.3,1.7,8.8,9.3,0.5,9.0
721,2018/12/23,0.3,1.7,10.6,9.8,0.5,9.9
722,2018/12/24,8.2,4.0,5.3,2.3,0.0,8.2
723,2018/12/25,7.9,1.8,4.8,7.3,0.0,5.8
724,2018/12/26,4.2,1.6,5.9,7.3,0.0,7.3
725,2018/12/27,8.0,2.3,6.2,3.0,0.0,9.0
726,2018/12/28,8.9,4.6,3.0,0.5,0.0,4.8
727,2018/12/29,7.4,3.1,2.8,2.0,0.0,4.3
728,2018/12/30,8.8,3.9,3.1,0.3,0.0,4.8
729,2018/12/31,8.7,2.8,3.7,4.0,0.0,4.9
